filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000975.npy,29.54185104961673,29.556112157758715,0.7970259463505149,0.7963945934096265,0.022441836073994637,0.022392746061086655,0.0011112579377368093,0.001107614953070879,0.18077019,0.17992672,0.01426110814198367,-0.0006313529408884522,-4.909001290798187e-05,-3.642984665930271e-06,-0.0008434653
000995.npy,31.583873667654473,31.598377448965785,0.6652337717823982,0.6648177125071287,0.020478341728448868,0.02046968601644039,0.000694404705427587,0.000692089437507093,0.14007059,0.1394058,0.014503781311312025,-0.00041605927526944253,-8.655712008476257e-06,-2.3152679204940796e-06,-0.0006647855
001016.npy,26.518843097703275,26.535582700329723,0.7703337294013537,0.770803594735933,0.030539564788341522,0.030516646802425385,0.002229028847068548,0.00222045392729342,0.24434677,0.24240685,0.01673960262644769,0.00046986533457926694,-2.2917985916137695e-05,-8.574919775128365e-06,-0.0019399226
001020.npy,24.484536574652704,24.505990028429878,0.735562532969438,0.7333038976127142,0.03969201073050499,0.03959924727678299,0.0035607898607850075,0.003543243510648608,0.34116924,0.33986086,0.021453453777173337,-0.0022586353567237705,-9.276345372200012e-05,-1.754635013639927e-05,-0.0013083816
001021.npy,25.038327182697326,25.080191990802238,0.6872659078884013,0.6895320404735272,0.03955266997218132,0.03943231701850891,0.0031344927847385406,0.003104422241449356,0.34090915,0.33951312,0.04186480810491133,0.0022661325851259795,-0.00012035295367240906,-3.007054328918457e-05,-0.0013960302
001028.npy,27.118056395421842,27.082009717258543,0.8516361841619611,0.8511051267337445,0.026672448962926865,0.02676187828183174,0.0019417547155171633,0.0019579383078962564,0.19024104,0.18898067,-0.03604667816329865,-0.0005310574282165748,8.942931890487671e-05,1.618359237909317e-05,-0.00126037
001038.npy,24.503172202811683,24.513379356456227,0.6048104434672966,0.6015909097158415,0.04154025390744209,0.04160267859697342,0.003545542946085334,0.003537219949066639,0.33305085,0.33224759,0.01020715364454361,-0.003219533751455117,6.24246895313263e-05,-8.322997018694878e-06,-0.000803262
001051.npy,29.874915036437947,29.917804447209704,0.7474303715530113,0.749687081301868,0.022710740566253662,0.022555073723196983,0.0010292206425219774,0.0010191064793616533,0.16117826,0.1600511,0.042889410771756786,0.0022567097488567223,-0.00015566684305667877,-1.0114163160324097e-05,-0.0011271536
001059.npy,22.383998411937288,22.372710489786826,0.6132312826613243,0.6063270545410094,0.05898997560143471,0.05914665758609772,0.005775640718638897,0.005790672264993191,0.49829566,0.4992025,-0.011287922150462038,-0.006904228120314881,0.00015668198466300964,1.5031546354293823e-05,0.00090682507
001076.npy,23.2498840198146,23.24130523167199,0.6055312170960764,0.6016301310042115,0.05343668907880783,0.053478311747312546,0.004731638822704554,0.004740994889289141,0.44871756,0.4486885,-0.008578788142610705,-0.0039010860918649026,4.1622668504714966e-05,9.356066584587097e-06,-2.9057264e-05
001082.npy,36.204030547059766,36.32558532502673,0.890095391617775,0.8934202725977898,0.011761367321014404,0.01159400399774313,0.00023966075968928635,0.00023304591013584286,0.06853131,0.06643317,0.12155477796696346,0.0033248809800148216,-0.00016736332327127457,-6.6148495534434915e-06,-0.002098143
001095.npy,37.16439964538285,37.364936411818455,0.9404547240781784,0.9441468516578674,0.009751766920089722,0.009500710293650627,0.0001921144430525601,0.00018344519776292145,0.06378174,0.0604823,0.20053676643560436,0.003692127579688953,-0.00025105662643909454,-8.669245289638638e-06,-0.0032994375
001129.npy,30.65145175009999,30.630014382626413,0.8327367528698169,0.8351559700246155,0.01981765776872635,0.019788645207881927,0.0008607059717178345,0.0008649650262668729,0.13625067,0.1342743,-0.021437367473577496,0.0024192171547986474,-2.9012560844421387e-05,4.25905454903841e-06,-0.0019763708
001130.npy,32.05437965680168,32.07988189791125,0.867130790331468,0.8693369185226559,0.016699230298399925,0.016619078814983368,0.0006231061415746808,0.0006194579182192683,0.11413574,0.112363055,0.02550224110957089,0.0022061281911879282,-8.015148341655731e-05,-3.6482233554124832e-06,-0.0017726868
